Rank,D_Score,E_Score,Penalty,Score,year,Name,nation,Round_AAfinal,Round_TeamFinal,Round_TeamQual,Round_final,Round_qual
15.0,3.4,8.433,0.0,11.833,2023,49,51,False,False,False,False,True
85.0,4.2,8.8,0.0,13.0,2023,118,72,False,False,False,False,True
1.0,5.6,9.566,0.0,15.166,2022,532,10,True,False,False,False,False
0.0,5.6,9.566,0.0,15.166,2022,532,10,False,True,False,False,False
1.0,5.6,9.466,0.0,15.066,2022,532,10,False,False,False,False,True
12.0,5.6,9.466,0.0,15.066,2022,532,10,False,False,False,False,True
12.0,3.0,8.466,0.0,11.466,2022,532,10,False,False,False,False,True
2.0,5.6,9.2,0.1,14.7,2023,532,10,True,False,False,False,False
0.0,5.6,9.3,0.0,14.9,2023,532,10,False,True,False,False,False
1.0,5.6,9.4,0.0,15.0,2023,532,10,False,False,False,True,False
2.0,5.6,9.3,0.0,14.9,2023,532,10,False,False,False,False,True
1.0,5.0,9.5,0.0,14.5,2023,532,10,False,False,False,True,False
2.0,5.0,9.366,0.0,14.366,2023,532,10,False,False,False,False,True
1.0,5.6,9.733,0.0,15.333,2023,532,10,False,False,False,True,False
1.0,5.6,9.5,0.0,15.1,2023,532,10,False,False,False,False,True
1.0,5.0,9.633,0.0,14.633,2023,532,10,False,False,False,True,False
1.0,5.0,9.533,0.0,14.533,2023,532,10,False,False,False,False,True
26.0,4.6,8.533,0.0,13.133,2022,58,45,False,False,False,False,True
13.0,4.6,8.533,0.0,13.133,2022,58,45,False,False,False,False,True
13.0,4.0,8.633,0.0,12.633,2022,58,45,False,False,False,False,True
43.0,4.6,8.733,0.3,13.033,2023,58,45,False,False,False,False,True
10.0,4.6,8.733,0.3,13.033,2023,58,45,False,False,False,False,True
10.0,3.8,8.466,0.0,12.266,2023,58,45,False,False,False,False,True
0.0,4.2,8.65,0.0,12.85,2023,370,88,True,False,False,False,False
26.0,3.6,8.633,0.0,12.233,2023,464,28,False,False,False,False,True
37.0,3.2,8.666,0.0,11.866,2023,467,28,False,False,False,False,True
0.0,3.2,7.8,0.0,11.0,2023,82,9,False,False,True,False,False
6.0,5.0,7.65,0.3,12.35,2022,573,30,False,False,False,True,False
3.0,5.0,8.85,0.0,13.85,2022,573,30,False,False,False,False,True
6.0,4.4,8.45,0.0,12.85,2022,573,30,False,False,False,True,False
3.0,4.4,8.5,0.0,12.9,2022,573,30,False,False,False,False,True
3.0,5.0,8.7,0.0,13.7,2022,573,74,True,False,False,False,False
3.0,4.4,8.5,0.0,12.9,2022,573,74,False,False,False,True,False
1.0,4.4,8.7,0.0,13.1,2022,573,74,False,False,False,False,True
150.0,4.2,7.633,0.3,11.533,2023,175,89,False,False,False,False,True
18.0,4.2,7.633,0.1,11.733,2023,175,89,False,False,False,False,True
18.0,3.8,8.633,0.0,12.433,2023,175,89,False,False,False,False,True
8.0,4.2,8.466,0.3,12.366,2023,175,89,False,False,False,True,False
8.0,4.2,8.566,0.0,12.766,2023,175,89,False,False,False,False,True
8.0,3.8,8.666,0.0,12.466,2023,175,89,False,False,False,True,False
8.0,3.8,8.533,0.0,12.333,2023,175,89,False,False,False,False,True
12.0,4.2,8.433,0.1,12.533,2023,175,89,False,False,False,False,True
12.0,3.8,8.7,0.0,12.5,2023,175,89,False,False,False,False,True
22.0,3.6,8.75,0.0,12.35,2023,629,90,False,False,False,False,True
10.0,3.6,8.75,0.0,12.35,2023,629,90,False,False,False,False,True
10.0,3.6,8.6,0.0,12.2,2023,629,90,False,False,False,False,True
0.0,3.6,8.467,0.0,12.067,2023,630,90,False,False,True,False,False
62.0,4.2,8.933,0.0,13.133,2023,591,20,False,False,False,False,True
80.0,3.6,8.7,0.0,12.3,2023,591,20,False,False,False,False,True
49.0,3.2,8.65,0.0,11.85,2022,40,30,False,False,False,False,True
138.0,3.2,8.4,0.0,11.6,2022,610,19,False,False,False,False,True
98.0,3.2,8.466,0.0,11.666,2022,610,19,False,False,False,False,True
16.0,3.2,8.55,0.0,11.75,2022,610,19,True,False,False,False,False
2.0,4.6,8.733,0.0,13.333,2022,164,38,False,False,False,True,False
4.0,4.6,8.766,0.0,13.366,2022,164,38,False,False,False,False,True
2.0,4.4,8.8,0.0,13.2,2022,164,38,False,False,False,True,False
4.0,4.4,8.7,0.0,13.1,2022,164,38,False,False,False,False,True
6.0,4.6,8.866,0.1,13.366,2022,164,38,False,False,False,True,False
6.0,4.2,8.766,0.0,12.966,2022,164,38,False,False,False,False,True
6.0,3.4,8.533,0.0,11.933,2022,164,38,False,False,False,True,False
6.0,3.4,8.466,0.0,11.866,2022,164,38,False,False,False,False,True
2.0,4.6,8.766,0.0,13.366,2022,164,38,False,False,False,False,True
2.0,4.6,8.7,0.0,13.3,2022,164,38,False,False,False,True,False
2.0,4.4,8.6,0.0,13.0,2022,164,38,False,False,False,True,False
2.0,4.4,8.3,0.0,12.7,2022,164,38,False,False,False,False,True
2.0,4.6,8.566,0.3,12.866,2023,164,38,False,False,False,True,False
8.0,4.2,8.8,0.0,13.0,2023,164,38,False,False,False,False,True
8.0,3.4,8.6,0.0,12.0,2023,164,38,False,False,False,False,True
2.0,4.4,8.933,0.0,13.333,2023,164,38,False,False,False,True,False
4.0,4.2,8.767,0.0,12.967,2023,164,38,False,False,False,False,True
2.0,4.6,8.667,0.0,13.267,2023,164,38,False,False,False,True,False
4.0,3.8,8.733,0.0,12.533,2023,164,38,False,False,False,False,True
2.0,4.4,8.633,0.0,13.033,2023,164,38,False,False,False,True,False
51.0,4.6,8.5,0.0,13.1,2022,164,38,False,False,False,False,True
17.0,4.6,8.5,0.0,13.1,2022,164,38,False,False,False,False,True
17.0,4.4,8.6,0.0,13.0,2022,164,38,False,False,False,False,True
19.0,4.6,8.7,0.0,13.3,2022,164,38,False,False,False,False,True
9.0,4.6,8.7,0.0,13.3,2022,164,38,False,False,False,False,True
9.0,4.6,9.2,0.0,13.8,2022,164,38,False,True,False,False,False
9.0,4.4,8.7,0.0,13.1,2022,164,38,False,False,False,False,True
8.0,4.6,8.8,0.0,13.4,2023,164,38,False,False,False,True,False
23.0,5.0,8.8,0.0,13.8,2023,164,38,False,False,False,False,True
11.0,5.0,8.8,0.0,13.8,2023,164,38,False,False,False,False,True
8.0,4.4,8.733,0.0,13.133,2023,164,38,False,False,False,True,False
11.0,4.4,8.8,0.0,13.2,2023,164,38,False,False,False,False,True
41.0,3.4,8.7,0.0,12.1,2022,548,30,False,False,False,False,True
41.0,3.6,7.75,0.0,11.35,2022,548,30,False,False,False,False,True
15.0,3.4,8.85,0.0,12.25,2023,548,30,False,False,False,False,True
15.0,3.6,7.6,0.3,10.9,2023,548,30,False,False,False,False,True
47.0,3.6,8.35,0.0,11.95,2022,574,30,False,False,False,False,True
28.0,3.6,8.75,0.0,12.35,2023,574,30,False,False,False,False,True
97.0,3.4,8.6,0.0,12.0,2023,6,81,False,False,False,False,True
31.0,4.2,8.45,0.0,12.65,2023,237,10,False,False,False,False,True
0.0,5.0,8.933,0.0,13.933,2023,274,10,False,True,False,False,False
21.0,5.0,8.833,0.0,13.833,2023,274,10,False,False,False,False,True
4.0,5.0,8.9,0.0,13.9,2023,274,10,True,False,False,False,False
19.0,4.2,8.9,0.0,13.1,2022,44,71,True,False,False,False,False
57.0,4.2,8.8,0.0,13.0,2022,44,71,False,False,False,False,True
50.0,4.2,8.633,0.1,12.733,2022,44,71,False,False,False,False,True
16.0,4.6,8.766,0.0,13.366,2023,44,71,True,False,False,False,False
31.0,4.6,8.9,0.0,13.5,2023,44,71,False,False,False,False,True
8.0,4.6,8.8,0.0,13.4,2023,44,71,True,False,False,False,False
98.0,4.6,7.633,0.3,11.933,2023,44,71,False,False,False,False,True
0.0,4.2,8.9,0.0,13.1,2022,601,88,True,False,False,False,False
0.0,4.2,8.7,0.0,12.9,2023,603,69,False,False,True,False,False
134.0,3.4,8.366,0.0,11.766,2022,13,49,False,False,False,False,True
6.0,3.8,8.5,0.0,12.3,2022,13,49,False,False,False,False,True
5.0,3.8,8.65,0.0,12.45,2022,13,49,False,False,False,True,False
5.0,4.2,8.7,0.0,12.9,2022,13,49,False,False,False,True,False
6.0,4.2,7.85,0.0,12.05,2022,13,49,False,False,False,False,True
125.0,4.2,8.433,0.1,12.533,2023,13,49,False,False,False,False,True
15.0,3.4,8.3,0.1,11.6,2023,13,49,True,False,False,False,False
10.0,3.8,8.566,0.0,12.366,2023,13,49,False,False,False,False,True
10.0,4.2,8.433,0.0,12.633,2023,13,49,False,False,False,False,True
99.0,5.0,7.566,0.0,12.566,2022,611,77,False,False,False,False,True
15.0,5.0,7.566,0.0,12.566,2022,611,77,False,False,False,False,True
15.0,4.6,9.066,0.0,13.666,2022,611,77,False,False,False,False,True
2.0,5.0,8.766,0.0,13.766,2022,611,77,False,False,False,False,True
3.0,5.0,8.7,0.0,13.7,2022,611,77,False,False,False,True,False
2.0,4.6,8.666,0.3,12.966,2022,611,77,False,False,False,False,True
3.0,4.6,7.666,0.1,12.166,2022,611,77,False,False,False,True,False
14.0,4.6,7.666,0.0,12.266,2022,611,77,False,False,False,False,True
1.0,5.0,8.85,0.0,13.85,2022,611,77,False,False,False,False,True
1.0,5.0,9.0,0.0,14.0,2022,611,77,False,False,False,True,False
1.0,4.6,9.15,0.0,13.75,2022,611,77,False,False,False,True,False
1.0,4.6,9.1,0.0,13.7,2022,611,77,False,False,False,False,True
117.0,4.0,7.6,0.3,11.3,2022,611,77,False,False,False,False,True
26.0,4.0,7.6,0.3,11.3,2022,611,77,False,False,False,False,True
2.0,5.0,7.9,0.0,12.9,2022,611,17,False,False,False,True,False
2.0,3.8,9.033,0.0,12.833,2022,611,77,False,False,False,False,True
2.0,4.6,8.933,0.0,13.533,2022,611,17,False,False,False,True,False
2.0,4.6,8.633,0.0,13.233,2022,611,77,False,False,False,False,True
0.0,5.0,8.766,0.0,13.766,2023,83,45,False,True,False,False,False
21.0,5.0,8.833,0.0,13.833,2023,83,45,False,False,False,False,True
4.0,4.2,9.05,0.0,13.25,2023,197,30,False,False,False,True,False
6.0,4.2,9.05,0.0,13.25,2023,197,30,False,False,False,False,True
4.0,3.8,8.899999999999999,0.0,12.7,2023,197,30,False,False,False,True,False
6.0,3.8,8.5,0.0,12.3,2023,197,30,False,False,False,False,True
106.0,3.4,8.433,0.0,11.833,2023,136,21,False,False,False,False,True
40.0,3.4,8.3,0.0,11.7,2023,605,72,False,False,False,False,True
6.0,4.2,8.466,0.0,12.666,2023,119,22,False,False,False,True,False
7.0,4.2,8.433,0.0,12.633,2023,119,22,False,False,False,False,True
6.0,3.8,8.333,0.1,12.033,2023,119,22,False,False,False,True,False
7.0,3.8,8.3,0.0,12.1,2023,119,22,False,False,False,False,True
0.0,4.2,8.633,0.0,12.833,2023,120,22,False,False,True,False,False
58.0,4.2,8.966,0.0,13.166,2023,372,80,False,False,False,False,True
17.0,4.2,9.166,0.0,13.366,2023,372,80,False,False,False,False,True
68.0,3.8,8.6,0.0,12.4,2022,626,52,False,False,False,False,True
88.0,3.6,8.566,0.0,12.166,2023,626,52,False,False,False,False,True
1.0,5.6,9.5,0.0,15.1,2023,581,88,True,False,False,False,False
0.0,5.6,9.2,0.0,14.8,2023,581,88,False,True,False,False,False
2.0,6.4,8.533,0.5,14.433,2023,581,88,False,False,False,True,False
1.0,6.4,9.366,0.5,15.266,2023,581,88,False,False,False,False,True
2.0,5.6,9.066,0.0,14.666,2023,581,88,False,False,False,True,False
1.0,5.6,9.033,0.0,14.633,2023,581,88,False,False,False,False,True
0.0,6.4,9.6,0.6,15.4,2023,581,88,True,False,False,False,False
0.0,6.4,9.8,0.5,15.7,2023,581,88,False,False,False,False,True
0.0,5.6,9.25,0.0,14.85,2023,581,88,False,False,False,True,False
14.0,4.2,8.0,0.0,12.2,2023,139,86,False,False,False,False,True
14.0,3.8,8.566,0.0,12.366,2023,139,86,False,False,False,False,True
6.0,4.2,8.866,0.0,13.066,2023,139,86,False,False,False,True,False
38.0,4.2,8.833,0.0,13.033,2023,139,86,False,False,False,False,True
8.0,4.2,8.833,0.0,13.033,2023,139,86,False,False,False,False,True
6.0,3.8,8.666,0.0,12.466,2023,139,86,False,False,False,True,False
8.0,3.8,8.666,0.0,12.466,2023,139,86,False,False,False,False,True
9.0,5.0,9.033,0.0,14.033,2022,201,12,True,False,False,False,False
0.0,5.0,9.2,0.0,14.2,2022,201,12,False,True,False,False,False
4.0,5.0,9.2,0.0,14.2,2022,201,12,False,False,False,True,False
26.0,4.8,8.866,0.0,13.666,2022,201,12,False,False,False,False,True
6.0,4.8,8.866,0.0,13.666,2022,201,12,False,False,False,False,True
4.0,4.8,9.233,0.0,14.033,2022,201,12,False,False,False,True,False
6.0,5.0,8.833,0.0,13.833,2022,201,12,False,False,False,False,True
6.0,5.0,9.0,0.0,14.0,2023,201,12,True,False,False,False,False
5.0,5.0,9.0,0.0,14.0,2023,201,12,False,False,False,True,False
17.0,5.0,8.966,0.0,13.966,2023,201,12,False,False,False,False,True
9.0,5.0,8.966,0.0,13.966,2023,201,12,False,False,False,False,True
5.0,4.8,9.066,0.0,13.866,2023,201,12,False,False,False,True,False
9.0,4.8,8.766,0.0,13.566,2023,201,12,False,False,False,False,True
0.0,5.0,9.1,0.0,14.1,2022,586,88,False,False,False,False,True
0.0,5.0,9.3,0.0,14.3,2022,586,88,False,False,False,True,False
0.0,5.0,8.9,0.1,13.8,2022,586,88,True,False,False,False,False
0.0,5.0,9.1,0.0,14.1,2023,586,88,True,False,False,False,False
0.0,5.0,9.35,0.0,14.35,2023,586,88,False,False,False,False,True
0.0,5.0,9.25,0.0,14.25,2023,586,88,False,False,False,True,False
6.0,4.6,9.033,0.0,13.633,2023,398,15,True,False,False,False,False
68.0,4.2,8.9,0.0,13.1,2023,373,5,False,False,False,False,True
45.0,4.2,8.9,0.1,13.0,2023,373,5,False,False,False,False,True
15.0,4.6,8.166,0.0,12.766,2023,89,23,True,False,False,False,False
12.0,4.6,7.3,0.3,11.6,2023,89,23,False,False,False,False,True
12.0,3.2,8.1,0.0,11.3,2023,89,23,False,False,False,False,True
0.0,4.2,8.233,0.3,12.133,2023,90,23,False,False,True,False,False
0.0,5.0,8.6,0.1,13.5,2022,144,88,False,False,False,False,True
0.0,5.0,8.6,0.0,13.6,2022,144,88,False,False,False,True,False
0.0,4.6,9.1,0.0,13.7,2022,144,88,True,False,False,False,False
0.0,4.6,9.1,0.0,13.7,2023,144,88,True,False,False,False,False
0.0,4.6,9.0,0.0,13.6,2023,144,88,False,False,False,False,True
0.0,4.6,8.8,0.0,13.4,2023,144,88,False,False,False,True,False
0.0,4.6,8.95,0.0,13.55,2023,144,88,True,False,False,False,False
89.0,3.4,8.5,0.0,11.9,2022,193,58,False,False,False,False,True
26.0,3.4,8.5,0.0,11.9,2022,193,58,False,False,False,False,True
26.0,3.6,8.133,0.1,11.633,2022,193,58,False,False,False,False,True
100.0,3.4,8.5,0.0,11.9,2023,193,58,False,False,False,False,True
129.0,3.6,8.4,0.0,12.0,2022,226,0,False,False,False,False,True
30.0,3.6,8.4,0.0,12.0,2022,226,0,False,False,False,False,True
22.0,4.2,9.0,0.0,13.2,2022,442,29,False,False,False,False,True
0.0,4.2,9.066,0.0,13.266,2023,442,29,False,True,False,False,False
42.0,4.2,9.166,0.0,13.366,2023,442,29,False,False,False,False,True
18.0,4.2,9.133,0.0,13.333,2023,442,29,False,False,False,False,True
15.0,4.2,9.066,0.0,13.266,2022,407,8,True,False,False,False,False
40.0,4.2,9.1,0.0,13.3,2022,407,8,False,False,False,False,True
32.0,4.2,8.766,0.0,12.966,2022,407,8,False,False,False,False,True
22.0,4.2,8.833,0.1,12.933,2022,407,8,False,True,False,False,False
62.0,4.2,8.933,0.0,13.133,2023,407,8,False,False,False,False,True
9.0,4.2,9.133,0.0,13.333,2023,407,8,True,False,False,False,False
18.0,4.2,9.133,0.0,13.333,2023,407,8,False,False,False,False,True
8.0,4.2,9.1,0.0,13.3,2023,407,8,False,False,False,False,True
20.0,4.2,8.65,0.0,12.85,2022,205,30,False,False,False,False,True
49.0,3.2,8.65,0.0,11.85,2022,65,30,False,False,False,False,True
12.0,4.6,8.6,0.1,13.1,2022,445,30,False,False,False,False,True
12.0,3.8,8.5,0.0,12.3,2022,445,30,False,False,False,False,True
0.0,3.8,6.8,0.1,10.5,2023,627,63,False,False,True,False,False
57.0,4.2,8.8,0.0,13.0,2022,243,4,False,False,False,False,True
31.0,4.6,8.9,0.0,13.5,2023,401,36,False,False,False,False,True
8.0,4.6,8.8,0.0,13.4,2023,401,36,True,False,False,False,False
17.0,4.2,8.966,0.0,13.166,2022,538,4,True,False,False,False,False
48.0,4.2,8.966,0.0,13.166,2022,538,4,False,False,False,False,True
28.0,4.2,8.9,0.0,13.1,2022,340,34,False,False,False,False,True
17.0,4.2,9.066,0.0,13.266,2022,340,34,False,True,False,False,False
7.0,4.6,8.666,0.0,13.266,2023,70,4,False,False,False,False,True
6.0,4.6,9.033,0.0,13.633,2023,70,4,False,False,False,True,False
7.0,3.4,8.7,0.0,12.1,2023,70,4,False,False,False,False,True
6.0,3.4,8.8,0.0,12.2,2023,70,4,False,False,False,True,False
6.0,4.2,8.8,0.0,13.0,2022,181,38,False,False,False,True,False
6.0,4.2,8.766,0.0,12.966,2022,181,38,False,False,False,False,True
6.0,3.6,8.333,0.1,11.833,2022,181,38,False,False,False,False,True
6.0,3.6,8.6,0.0,12.2,2022,181,38,False,False,False,True,False
21.0,4.2,8.6,0.1,12.7,2023,271,27,False,False,False,False,True
15.0,4.2,8.6,0.3,12.5,2023,271,27,False,False,False,False,True
15.0,3.6,8.066,0.3,11.366,2023,271,27,False,False,False,False,True
23.0,4.2,8.1,0.0,12.3,2023,546,18,False,False,False,False,True
0.0,4.2,7.567,0.0,11.767,2023,546,18,False,False,True,False,False
2.0,5.6,9.133,0.0,14.733,2022,275,88,True,False,False,False,False
0.0,5.6,9.2,0.0,14.8,2022,275,88,False,True,False,False,False
1.0,5.6,9.133,0.0,14.733,2022,275,88,False,False,False,True,False
2.0,5.6,9.0,0.0,14.6,2022,275,88,False,False,False,False,True
1.0,5.6,9.0,0.0,14.6,2022,275,88,False,False,False,False,True
1.0,5.0,9.3,0.0,14.3,2022,275,88,False,False,False,True,False
1.0,5.0,9.366,0.0,14.366,2022,275,88,False,False,False,False,True
0.0,5.6,9.2,0.0,14.8,2022,275,88,False,False,False,False,True
0.0,5.6,9.05,0.0,14.65,2022,275,88,False,False,False,True,False
0.0,5.6,8.35,0.0,13.95,2023,275,88,False,False,False,False,True
0.0,5.6,8.95,0.0,14.55,2023,275,88,False,False,False,True,False
16.0,4.2,9.0,0.0,13.2,2022,359,27,True,False,False,False,False
45.0,4.2,9.0,0.0,13.2,2022,359,27,False,False,False,False,True
93.0,4.2,7.6,0.0,11.8,2022,359,27,False,False,False,False,True
20.0,4.2,8.8,0.0,13.0,2022,359,27,False,True,False,False,False
78.0,4.2,8.866,0.0,13.066,2023,359,27,False,False,False,False,True
6.0,4.2,9.0,0.0,13.2,2023,359,27,False,False,False,True,False
4.0,4.2,8.933,0.0,13.133,2023,359,27,False,False,False,False,True
6.0,3.4,8.7,0.0,12.1,2023,359,27,False,False,False,True,False
4.0,3.8,8.666,0.0,12.466,2023,359,27,False,False,False,False,True
12.0,4.2,9.033,0.0,13.233,2023,359,27,True,False,False,False,False
27.0,4.2,8.966,0.0,13.166,2023,359,27,False,False,False,False,True
0.0,4.2,7.767,0.1,11.867,2023,134,13,False,False,True,False,False
45.0,3.2,8.75,0.0,11.95,2022,145,30,False,False,False,False,True
0.0,3.6,8.333,0.0,11.933,2023,84,16,False,False,True,False,False
0.0,5.0,8.7,0.0,13.7,2023,182,88,True,False,False,False,False
0.0,5.0,8.9,0.0,13.9,2023,182,88,False,False,False,False,True
0.0,5.0,8.6,0.0,13.6,2023,182,88,False,False,False,True,False
0.0,5.0,8.5,0.1,13.4,2023,182,88,True,False,False,False,False
55.0,4.2,8.766,0.1,12.866,2023,135,80,False,False,False,False,True
35.0,3.6,8.9,0.0,12.5,2022,503,30,False,False,False,False,True
13.0,3.6,8.4,0.0,12.0,2023,147,37,False,False,False,False,True
13.0,3.4,8.733,0.0,12.133,2023,147,37,False,False,False,False,True
12.0,3.6,8.566,0.0,12.166,2023,147,37,False,False,False,False,True
12.0,3.4,8.6,0.0,12.0,2023,147,37,False,False,False,False,True
12.0,3.6,8.333,0.0,11.933,2022,148,37,False,False,False,False,True
12.0,3.4,8.433,0.0,11.833,2022,148,37,False,False,False,False,True
115.0,3.8,7.6,0.0,11.4,2023,240,19,False,False,False,False,True
27.0,3.4,8.5,0.0,11.9,2023,126,26,False,False,False,False,True
0.0,3.4,7.9,0.0,11.3,2023,127,26,False,False,True,False,False
0.0,5.0,9.4,0.0,14.4,2022,296,88,False,True,False,False,False
2.0,5.0,9.5,0.0,14.5,2022,296,88,False,False,False,True,False
3.0,5.0,9.466,0.0,14.466,2022,296,88,False,False,False,False,True
2.0,5.0,9.466,0.0,14.466,2022,296,88,False,False,False,False,True
2.0,4.8,9.4,0.0,14.2,2022,296,88,False,False,False,True,False
2.0,4.8,9.366,0.0,14.166,2022,296,88,False,False,False,False,True
0.0,5.0,9.35,0.0,14.35,2022,296,88,False,False,False,False,True
0.0,5.0,9.3,0.0,14.3,2022,296,88,False,False,False,True,False
0.0,5.0,9.3,0.0,14.3,2023,296,88,False,False,False,False,True
0.0,5.0,9.25,0.0,14.25,2023,296,88,False,False,False,True,False
1.0,5.0,9.3,0.0,14.3,2023,296,88,True,False,False,False,False
2.0,5.0,9.4,0.0,14.4,2023,296,88,False,False,False,True,False
2.0,5.0,9.366,0.0,14.366,2023,296,88,False,False,False,False,True
2.0,4.8,9.1,0.0,13.9,2023,296,88,False,False,False,True,False
2.0,4.8,9.133,0.1,13.833,2023,296,88,False,False,False,False,True
0.0,4.2,8.75,0.0,12.95,2023,154,88,True,False,False,False,False
0.0,4.2,8.7,0.0,12.9,2023,154,88,True,False,False,False,False
32.0,3.4,8.6,0.0,12.0,2023,168,50,False,False,False,False,True
0.0,4.2,8.7,0.0,12.9,2023,500,88,True,False,False,False,False
0.0,4.6,7.6,0.3,11.9,2023,500,88,True,False,False,False,False
1.0,5.0,8.333,0.0,13.333,2022,502,89,False,False,False,True,False
3.0,5.0,8.5,0.0,13.5,2022,502,89,False,False,False,False,True
1.0,4.4,8.8,0.0,13.2,2022,502,89,False,False,False,True,False
3.0,4.4,8.766,0.0,13.166,2022,502,89,False,False,False,False,True
2.0,4.0,8.7,0.0,12.7,2022,502,89,False,False,False,True,False
1.0,4.0,8.666,0.0,12.666,2022,502,89,False,False,False,False,True
1.0,4.4,8.7,0.0,13.1,2022,502,89,False,False,False,False,True
2.0,4.4,8.8,0.0,13.2,2022,502,89,False,False,False,True,False
3.0,4.0,8.666,0.0,12.666,2022,502,89,False,False,False,False,True
1.0,5.0,8.6,0.0,13.6,2022,502,89,False,False,False,True,False
3.0,4.4,8.833,0.0,13.233,2022,502,89,False,False,False,False,True
1.0,4.4,8.866,0.0,13.266,2022,502,89,False,False,False,True,False
2.0,5.0,8.733,0.1,13.633,2023,502,89,False,False,False,True,False
2.0,4.0,8.833,0.0,12.833,2023,502,89,False,False,False,False,True
2.0,4.4,8.833,0.0,13.233,2023,502,89,False,False,False,True,False
2.0,4.4,8.8,0.0,13.2,2023,502,89,False,False,False,False,True
8.0,3.6,8.3,0.0,11.9,2023,502,89,False,False,False,True,False
5.0,4.0,8.833,0.0,12.833,2023,502,89,False,False,False,False,True
8.0,3.4,8.7,0.0,12.1,2023,502,89,False,False,False,True,False
5.0,4.4,8.9,0.0,13.3,2023,502,89,False,False,False,False,True
3.0,4.4,8.566,0.1,12.866,2023,502,89,False,False,False,True,False
3.0,4.0,8.7,0.0,12.7,2023,502,89,False,False,False,False,True
