Name,Country,Date,Gender,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,4.0,5.7,7.6,0.0,13.3,13.3
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,1.0,5.3,8.05,0.0,13.35,13.350000000000001
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",FX,2.0,5.3,7.733,0.0,13.033,13.033
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,11.0,5.3,7.25,0.0,12.55,12.55
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",UB,3.0,6.0,7.25,0.0,13.25,13.25
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",UB,4.0,6.0,7.433,0.0,13.433,13.433
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,2.0,6.1,7.65,0.0,13.75,13.75
Ondine ACHAMPONG,ENG,2022-08-02,w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,1.0,5.0,8.9,0.0,13.9,13.9
Barbara ACHONDO ANDINO,CHI,,w,2022 Osijek World Challenge Cup,qual,"Osijek, Croatia",FX,13.0,4.7,7.333,0.1,11.933,11.933000000000002
Barbara ACHONDO ANDINO,CHI,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,0.0,3.6,7.433,0.1,10.933,10.933
Barbara ACHONDO ANDINO,CHI,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,0.0,4.2,8.1,0.0,12.3,12.3
Barbara ACHONDO ANDINO,CHI,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,0.0,4.1,6.933,0.3,10.733,10.732999999999999
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",BB,17.0,3.6,7.6,0.1,11.1,11.1
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",BB,31.0,3.8,7.233,0.0,11.033,11.033
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",FX,10.0,4.5,7.833,0.0,12.333,12.333
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,final,"Santiago, Chile",FX,8.0,4.4,7.9,0.1,12.2,12.200000000000001
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",FX,10.0,4.6,8.033,0.0,12.633,12.633
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",UB,24.0,3.4,4.866,0.0,8.266,8.266
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",UB,26.0,4.2,7.233,0.0,11.433,11.433
Barbara ACHONDO ANDINO,CHI,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",VT,24.0,3.2,8.2,0.0,11.4,11.399999999999999
Thelma ADALSTEINSDOTTIR,ISL,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,69.0,4.7,7.0,0.1,11.6,11.6
Thelma ADALSTEINSDOTTIR,ISL,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,127.0,3.7,7.733,0.0,11.433,11.433
Thelma ADALSTEINSDOTTIR,ISL,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,108.0,4.2,6.833,0.0,11.033,11.033000000000001
Thelma ADALSTEINSDOTTIR,ISL,2022-11-06,w,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,126.0,3.8,8.266,0.0,12.066,12.065999999999999
Thelma ADALSTEINSDOTTIR,ISL,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",BB,35.0,4.7,7.533,0.0,12.233,12.233
Thelma ADALSTEINSDOTTIR,ISL,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",FX,91.0,3.6,7.533,0.0,11.133,11.133000000000001
Thelma ADALSTEINSDOTTIR,ISL,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",UB,57.0,4.1,7.633,0.0,11.733,11.733
Thelma ADALSTEINSDOTTIR,ISL,2022-08-14,w,2022 Senior European Championships,qual,"Munich, Germany",VT1,69.0,3.8,8.533,0.0,12.333,12.332999999999998
Thelma ADALSTEINSDOTTIR,ISL,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,69.0,4.8,7.333,0.0,12.133,12.133
Thelma ADALSTEINSDOTTIR,ISL,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,62.0,4.8,7.7,0.0,12.5,12.5
Thelma ADALSTEINSDOTTIR,ISL,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,79.0,4.3,7.866,0.0,12.166,12.166
Thelma ADALSTEINSDOTTIR,ISL,2023-10-08,w,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,135.0,4.2,8.4,0.3,12.3,12.3
Thelma ADALSTEINSDOTTIR,ISL,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",BB,57.0,4.8,6.466,0.1,11.166,11.166
Thelma ADALSTEINSDOTTIR,ISL,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",FX,78.0,4.5,7.066,0.0,11.566,11.565999999999999
Thelma ADALSTEINSDOTTIR,ISL,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",UB,54.0,4.3,7.933,0.0,12.233,12.233
Thelma ADALSTEINSDOTTIR,ISL,2023-04-16,w,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,82.0,3.8,8.5,0.0,12.3,12.3
Jess ADAMSON,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,54.0,4.3,5.4,0.0,9.7,9.7
Jess ADAMSON,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,52.0,4.0,6.45,0.0,10.45,10.45
Jess ADAMSON,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,24.0,3.7,7.6,0.0,11.3,11.3
Jess ADAMSON,GBR,2022-03-27,w,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,44.0,3.6,8.4,0.0,12.0,12.0
Nashely Esmeralda ALBA RODRIGUEZ,DOM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,0.0,3.8,8.233,0.0,12.033,12.033000000000001
Ruba ALDAOUD,JOR,2023-04-30,w,2023 Cairo World Cup,qual,"Cairo, Egypt",VT1,23.0,3.2,8.6,0.0,11.8,11.8
Ruba ALDAOUD,JOR,2023-04-30,w,2023 Cairo World Cup,qual,"Cairo, Egypt",VT2,23.0,1.6,8.566,0.0,10.166,10.166
Katyna ALICEA,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",BB,48.0,4.3,4.3,0.0,8.6,8.6
Katyna Kamila ALICEA CARDONA,PUR,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",FX,0.0,4.1,7.3,0.1,11.3,11.299999999999999
Katyna Kamila ALICEA CARDONA,PUR,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,0.0,4.0,7.233,0.0,11.233,11.233
Katyna Kamila ALICEA CARDONA,PUR,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",UB,0.0,4.1,6.3,0.0,10.4,10.399999999999999
Katyna Kamila ALICEA CARDONA,PUR,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamFinal,"Medellin, Colombia",VT,0.0,3.2,8.067,0.0,11.267,11.267
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.7,7.9,0.0,13.6,13.600000000000001
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.7,8.25,0.0,13.95,13.95
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,4.5,7.55,0.1,11.95,11.950000000000001
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,4.5,6.85,0.0,11.35,11.35
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,4.5,7.85,0.0,12.35,12.35
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,4.5,7.95,0.0,12.45,12.45
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,4.6,7.65,0.3,11.95,11.95
Ciena ALIPIO,USA,2022-08-20,w,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,4.6,8.7,0.1,13.2,13.2
Ciena ALIPIO,USA,,w,2022 U.S. Classic,AAfinal,"West Valley City, Utah",BB,12.0,4.6,6.8,0.0,11.4,11.399999999999999
Ciena ALIPIO,USA,,w,2022 U.S. Classic,AAfinal,"West Valley City, Utah",FX,6.0,4.5,7.7,0.0,12.2,12.2
Ciena ALIPIO,USA,,w,2022 U.S. Classic,AAfinal,"West Valley City, Utah",UB,11.0,4.6,7.85,0.0,12.45,12.45
Ciena ALIPIO,USA,,w,2022 U.S. Classic,AAfinal,"West Valley City, Utah",VT,0.0,4.6,8.7,0.0,13.3,13.299999999999999
Ciena ALIPIO,USA,2022-02-27,w,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,17.0,5.6,6.65,0.0,12.25,12.25
Ciena ALIPIO,USA,2022-02-27,w,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,19.0,5.0,6.85,0.0,11.85,11.85
Ciena ALIPIO,USA,2022-02-27,w,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,11.0,4.6,8.3,0.0,12.9,12.9
Ciena ALIPIO,USA,2022-02-27,w,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,4.6,8.7,0.1,13.2,13.2
Alejandra ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",BB,22.0,4.3,7.266,0.0,11.566,11.565999999999999
Alejandra ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",FX,44.0,4.3,6.2,0.1,10.4,10.4
Alejandra ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,qual,"Santiago, Chile",UB,37.0,3.6,7.333,0.0,10.933,10.933
Alejandra Sofia ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",BB,24.0,4.3,4.833,0.0,9.133,9.133
Alejandra Sofia ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",FX,23.0,4.5,6.766,0.0,11.266,11.266
Alejandra Sofia ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",UB,21.0,3.5,7.1,0.0,10.6,10.6
Alejandra Sofia ALVAREZ DIAZ,PUR,2023-10-25,w,SANTIAGO 2023 XIX Pan American Games,AAfinal,"Santiago, Chile",VT,17.0,4.2,8.433,0.0,12.633,12.633
Juliana Mya AMEDE ABSOLAM,JAM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,0.0,3.5,5.1,0.0,8.6,8.6
Juliana Mya AMEDE ABSOLAM,JAM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,0.0,4.1,6.467,0.0,10.567,10.567
Juliana Mya AMEDE ABSOLAM,JAM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,0.0,3.1,6.933,0.0,10.033,10.033
Juliana Mya AMEDE ABSOLAM,JAM,2023-05-28,w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,0.0,3.2,7.433,0.3,10.333,10.332999999999998
Namuunaa AMGALAN,MGL,,w,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",BB,38.0,4.5,4.433,0.0,8.933,8.933
Namuunaa AMGALAN,MGL,,w,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,38.0,3.5,5.967,0.0,9.467,9.466999999999999
Mei AMORELLI,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,22.0,4.2,7.3,0.0,11.5,11.5
Mei AMORELLI,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,31.0,4.3,6.7,0.0,11.0,11.0
Mei AMORELLI,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,35.0,3.4,6.5,0.0,9.9,9.9
Mei AMORELLI,GBR,2023-03-26,w,2023 British Gymnastics Championships,qual,"Liverpool, England",VT1,30.0,3.4,8.7,0.0,12.1,12.1
Lobar AMRILLAEVA,UZB,,w,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",BB,25.0,4.8,6.367,0.0,11.167,11.167
Lobar AMRILLAEVA,UZB,,w,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,22.0,4.7,6.567,0.0,11.267,11.267
