Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_AAqual,round_TeamFinal,round_TeamQual,round_final,round_qual
0.0,4.8,9.4,0.0,14.2,2023,76,10,False,False,True,False,False,False
0.0,4.8,9.2,0.1,13.9,2023,76,10,False,False,False,True,False,False
49.0,4.8,8.7,0.1,13.4,2023,175,93,True,False,False,False,False,False
59.0,4.8,9.066,0.0,13.866,2022,253,21,False,False,False,False,False,True
81.0,4.8,8.7,0.3,13.2,2022,253,21,False,False,False,False,False,True
13.0,4.8,9.1,0.0,13.9,2022,253,21,False,False,False,False,False,True
13.0,4.8,8.2,0.0,13.0,2022,253,21,False,False,False,False,False,True
31.0,4.8,9.033,0.0,13.832999999999998,2023,253,21,False,False,False,False,False,True
10.0,4.8,9.033,0.0,13.832999999999998,2023,253,21,False,False,False,False,False,True
10.0,4.8,8.9,0.0,13.7,2023,253,21,False,False,False,False,False,True
37.0,4.8,9.233,0.0,14.033,2023,253,21,False,False,False,False,False,True
9.0,4.8,8.95,0.0,13.75,2022,253,21,True,False,False,False,False,False
0.0,4.8,9.0,0.0,13.8,2022,253,21,False,True,False,False,False,False
10.0,4.0,9.05,0.0,13.05,2022,253,21,False,False,False,False,False,True
31.0,4.0,7.9,0.0,11.9,2023,703,95,False,False,False,False,False,True
0.0,2.8,8.9,0.0,11.7,2023,704,95,False,False,False,True,False,False
25.0,5.2,7.65,0.1,12.75,2023,481,76,False,False,False,False,False,True
0.0,4.0,8.9,0.1,12.8,2023,480,76,False,False,True,False,False,False
0.0,4.0,8.667,0.1,12.567,2023,480,76,False,False,False,True,False,False
0.0,5.0,8.9,0.0,13.9,2022,626,79,False,True,False,False,False,False
45.0,5.2,8.833,0.0,14.033,2022,226,91,False,False,False,False,False,True
21.0,5.2,9.233,0.0,14.433,2022,226,91,False,False,False,False,False,True
14.0,5.2,9.1,0.1,14.2,2022,226,91,False,False,True,False,False,False
91.0,5.2,8.766,0.1,13.866,2023,226,91,False,False,False,False,False,True
38.0,5.2,8.933,0.1,14.033,2023,226,91,False,False,False,False,False,True
25.0,5.2,8.8,0.1,13.9,2023,226,91,False,False,False,False,False,True
13.0,5.2,7.733,0.0,12.933,2023,606,42,False,False,False,False,False,True
13.0,2.4,8.966,0.0,11.366,2023,606,42,False,False,False,False,False,True
7.0,5.2,7.933,0.0,13.133,2023,365,15,False,False,False,False,True,False
6.0,4.8,9.133,0.0,13.933,2023,365,15,False,False,False,False,False,True
7.0,4.8,9.233,0.0,14.033,2023,365,15,False,False,False,False,True,False
6.0,4.8,9.233,0.0,14.033,2023,365,15,False,False,False,False,False,True
0.0,4.8,8.833,0.3,13.333,2023,418,15,False,False,False,True,False,False
85.0,4.0,9.1,0.0,13.1,2022,446,4,False,False,False,False,False,True
0.0,4.8,8.9,0.1,13.6,2022,476,93,False,False,False,False,False,True
0.0,4.8,8.85,0.0,13.65,2022,476,93,False,False,False,False,True,False
15.0,4.8,9.3,0.0,14.1,2023,476,93,True,False,False,False,False,False
19.0,5.2,8.9,0.1,14.0,2022,476,93,True,False,False,False,False,False
9.0,4.8,9.65,0.0,14.45,2023,476,93,True,False,False,False,False,False
0.0,4.8,9.2,0.0,14.0,2023,476,93,False,False,False,False,False,True
0.0,4.8,9.1,0.0,13.9,2023,476,93,False,False,False,False,True,False
4.0,6.0,8.35,0.0,14.35,2023,385,53,False,False,False,False,False,True
8.0,5.6,7.7,0.1,13.2,2023,385,53,False,False,False,False,True,False
4.0,5.6,8.9,0.1,14.4,2023,385,53,False,False,False,False,False,True
43.0,4.8,8.75,0.0,13.55,2023,59,93,True,False,False,False,False,False
53.0,5.6,8.333,0.0,13.933,2022,9,91,False,False,False,False,False,True
9.0,5.6,8.333,0.0,13.933,2022,9,91,False,False,False,False,False,True
9.0,5.6,9.133,0.0,14.733,2022,9,91,False,False,False,False,False,True
14.0,6.0,8.566,0.3,14.266,2022,9,91,False,False,False,False,False,True
14.0,5.6,7.733,0.0,13.333,2022,9,91,False,False,False,False,False,True
7.0,5.6,7.766,0.1,13.266,2022,9,91,False,False,False,False,False,True
3.0,6.0,8.666,0.0,14.666,2022,9,91,False,False,False,False,True,False
7.0,6.0,9.066,0.0,15.066,2022,9,91,False,False,False,False,False,True
3.0,5.6,9.0,0.1,14.5,2022,9,91,False,False,False,False,True,False
0.0,5.6,8.15,0.1,13.65,2022,9,91,False,False,False,False,True,False
3.0,5.6,8.1,0.1,13.6,2022,9,91,False,False,False,False,False,True
3.0,5.6,9.05,0.0,14.65,2022,9,91,False,False,False,False,False,True
3.0,6.0,9.3,0.0,15.3,2023,9,91,False,False,False,False,True,False
3.0,5.6,9.3,0.0,14.9,2023,9,91,False,False,False,False,False,True
3.0,5.6,8.066,0.0,13.666,2023,9,91,False,False,False,False,True,False
3.0,5.6,8.2,0.3,13.5,2023,9,91,False,False,False,False,False,True
8.0,5.6,9.15,0.0,14.75,2023,9,91,False,False,False,False,False,True
1.0,6.0,9.0,0.0,15.0,2023,9,91,False,False,False,False,True,False
8.0,5.6,8.15,0.0,13.75,2023,9,91,False,False,False,False,False,True
1.0,5.6,8.95,0.1,14.45,2023,9,91,False,False,False,False,True,False
1.0,6.0,9.2,0.0,15.2,2022,9,91,False,False,False,False,False,True
11.0,6.0,9.2,0.0,15.2,2022,9,91,False,False,False,False,False,True
1.0,6.0,9.233,0.0,15.233,2022,9,91,False,False,True,False,False,False
11.0,5.6,8.2,0.3,13.5,2022,9,91,False,False,False,False,False,True
12.0,5.6,8.966,0.0,14.566,2023,9,91,False,False,False,False,False,True
14.0,6.0,9.133,0.3,14.833,2023,9,91,False,False,False,False,False,True
14.0,5.6,7.933,0.3,13.233,2023,9,91,False,False,False,False,False,True
15.0,5.6,9.166,0.0,14.766,2023,9,91,False,False,False,False,False,True
15.0,4.8,7.933,0.0,12.733,2023,9,91,False,False,False,False,False,True
5.0,6.0,8.9,0.1,14.8,2023,9,91,False,False,False,False,True,False
22.0,5.6,8.866,0.3,14.166,2023,9,91,False,False,False,False,False,True
6.0,5.6,8.866,0.3,14.166,2023,9,91,False,False,False,False,False,True
5.0,5.6,7.9,0.0,13.5,2023,9,91,False,False,False,False,True,False
6.0,4.8,9.166,0.0,13.966,2023,9,91,False,False,False,False,False,True
3.0,6.0,9.1,0.0,15.1,2023,9,91,True,False,False,False,False,False
5.0,6.0,9.166,0.0,15.166,2023,9,91,False,False,False,False,True,False
3.0,6.0,9.066,0.1,14.966,2023,9,91,False,False,False,False,False,True
7.0,6.0,9.066,0.1,14.966,2023,9,91,False,False,False,False,False,True
5.0,5.6,8.033,0.1,13.533,2023,9,91,False,False,False,False,True,False
7.0,4.8,9.1,0.0,13.9,2023,9,91,False,False,False,False,False,True
3.0,5.6,8.1,0.1,13.6,2023,9,91,False,False,False,False,True,False
3.0,5.6,9.65,0.0,15.25,2023,9,91,False,False,False,False,False,True
3.0,4.8,9.333,0.0,14.133,2023,9,91,False,False,False,False,True,False
3.0,4.8,9.3,0.0,14.1,2023,9,91,False,False,False,False,False,True
50.0,5.2,8.766,0.0,13.966,2022,470,46,False,False,False,False,False,True
18.0,5.2,8.766,0.0,13.966,2022,470,46,False,False,False,False,False,True
18.0,5.2,8.766,0.1,13.866,2022,470,46,False,False,False,False,False,True
6.0,5.2,8.1,0.0,13.3,2022,470,66,False,False,False,False,True,False
6.0,5.2,8.55,0.0,13.75,2022,470,66,False,False,False,False,False,True
26.0,4.0,8.6,0.0,12.6,2023,577,70,False,False,False,False,False,True
0.0,4.0,8.767,0.0,12.767,2023,576,70,False,False,False,True,False,False
23.0,4.8,8.8,0.0,13.6,2023,320,33,False,False,False,False,False,True
17.0,5.2,8.833,0.0,14.033,2023,62,94,False,False,False,False,False,True
17.0,4.8,8.866,0.1,13.566,2023,62,94,False,False,False,False,False,True
7.0,5.2,7.866,0.0,13.066,2023,62,94,False,False,False,False,True,False
23.0,5.2,8.933,0.0,14.133,2023,62,94,False,False,False,False,False,True
7.0,5.2,8.933,0.0,14.133,2023,62,94,False,False,False,False,False,True
7.0,4.8,9.066,0.0,13.866,2023,62,94,False,False,False,False,False,True
4.0,4.8,9.166,0.0,13.966,2023,62,94,True,False,False,False,False,False
6.0,5.2,8.9,0.0,14.1,2023,62,94,False,False,False,False,True,False
8.0,5.2,8.933,0.0,14.133,2023,62,94,False,False,False,False,False,True
6.0,4.8,9.1,0.0,13.9,2023,62,94,False,False,False,False,True,False
8.0,4.8,9.166,0.0,13.966,2023,62,94,False,False,False,False,False,True
54.0,4.8,9.1,0.0,13.9,2022,2,94,False,False,False,False,False,True
92.0,4.8,9.033,0.0,13.833,2023,2,94,False,False,False,False,False,True
67.0,4.8,8.966,0.0,13.766,2022,287,54,False,False,False,False,False,True
117.0,4.8,8.9,0.3,13.4,2023,287,54,False,False,False,False,False,True
10.0,4.8,9.233,0.0,14.033,2023,287,54,True,False,False,False,False,False
29.0,4.8,9.133,0.0,13.933,2023,287,54,False,False,False,False,False,True
0.0,3.2,8.35,0.0,11.55,2022,647,21,False,True,False,False,False,False
113.0,5.6,7.8,0.3,13.1,2022,310,3,False,False,False,False,False,True
21.0,5.6,7.8,0.3,13.1,2022,310,3,False,False,False,False,False,True
21.0,5.6,8.9,0.1,14.4,2022,310,3,False,False,False,False,False,True
12.0,5.2,9.233,0.0,14.433,2022,310,3,False,False,False,False,False,True
12.0,5.6,8.166,0.3,13.466,2022,310,3,False,False,False,False,False,True
4.0,5.2,8.666,0.0,13.866,2022,310,3,False,False,False,False,False,True
6.0,5.2,8.8,0.0,14.0,2022,310,3,False,False,False,False,True,False
4.0,5.6,9.166,0.1,14.666,2022,310,3,False,False,False,False,False,True
6.0,5.6,7.9,0.2,13.3,2022,310,3,False,False,False,False,True,False
12.0,5.2,9.0,0.1,14.1,2022,310,3,False,False,False,False,False,True
12.0,5.6,8.533,0.3,13.833,2022,310,3,False,False,False,False,False,True
3.0,5.2,9.133,0.0,14.333,2022,310,3,False,False,False,False,False,True
3.0,5.2,9.233,0.0,14.433,2022,310,3,False,False,False,False,True,False
3.0,5.6,9.4,0.1,14.9,2022,310,3,False,False,False,False,True,False
3.0,5.6,9.233,0.1,14.733,2022,310,3,False,False,False,False,False,True
3.0,5.6,8.8,0.3,14.1,2022,310,3,False,False,False,False,True,False
4.0,5.2,8.9,0.1,14.0,2022,310,3,False,False,False,False,False,True
17.0,4.8,7.866,0.0,12.666,2023,245,55,True,False,False,False,False,False
94.0,4.4,8.966,0.1,13.266,2023,142,22,False,False,False,False,False,True
8.0,4.8,9.05,0.1,13.75,2022,235,79,True,False,False,False,False,False
0.0,4.8,9.35,0.0,14.15,2022,235,79,False,True,False,False,False,False
22.0,4.4,8.9,0.1,13.2,2022,403,41,True,False,False,False,False,False
111.0,4.4,8.766,0.0,13.166,2022,403,41,False,False,False,False,False,True
63.0,4.8,9.066,0.1,13.766,2022,403,41,False,False,False,False,False,True
107.0,4.4,9.166,0.0,13.566,2023,403,41,False,False,False,False,False,True
109.0,4.4,8.733,0.1,13.033,2023,403,41,False,False,False,False,False,True
8.0,4.8,8.866,0.1,13.566,2023,637,89,True,False,False,False,False,False
6.0,5.2,9.133,0.1,14.233,2022,567,33,False,False,False,False,True,False
4.0,5.2,9.3,0.0,14.5,2022,567,33,False,False,False,False,False,True
6.0,5.2,7.866,0.0,13.066,2022,567,33,False,False,False,False,True,False
4.0,4.8,8.6,0.1,13.3,2022,567,33,False,False,False,False,False,True
18.0,5.2,8.9,0.1,14.0,2023,567,33,False,False,False,False,False,True
25.0,5.6,7.9,0.3,13.2,2022,193,33,False,False,False,False,False,True
25.0,5.2,9.1,0.0,14.3,2022,193,33,False,False,False,False,False,True
8.0,5.2,7.966,0.0,13.166,2022,193,97,False,False,False,False,True,False
5.0,5.2,9.0,0.0,14.2,2022,193,97,False,False,False,False,False,True
0.0,5.2,8.933,0.1,14.033,2023,140,71,False,False,False,True,False,False
0.0,4.0,8.333,0.0,12.333,2023,215,9,False,False,False,True,False,False
0.0,5.2,9.4,0.0,14.6,2022,509,49,False,False,True,False,False,False
9.0,5.2,9.4,0.0,14.6,2022,509,49,False,False,False,False,False,True
26.0,5.2,9.2,0.1,14.3,2022,509,49,False,False,False,False,False,True
12.0,5.2,9.2,0.1,14.3,2022,509,49,False,False,False,False,False,True
5.0,5.2,9.3,0.0,14.5,2022,509,49,False,False,True,False,False,False
12.0,5.2,9.3,0.1,14.4,2022,509,49,False,False,False,False,False,True
0.0,5.2,9.366,0.0,14.566,2023,509,49,False,False,True,False,False,False
9.0,5.2,9.466,0.0,14.666,2023,509,49,False,False,False,False,False,True
5.0,5.2,9.466,0.0,14.666,2023,509,49,False,False,False,False,True,False
5.0,5.2,9.533,0.0,14.733,2023,509,49,False,False,False,False,False,True
5.0,4.8,9.333,0.0,14.133,2023,509,49,False,False,False,False,True,False
5.0,4.8,9.266,0.0,14.066,2023,509,49,False,False,False,False,False,True
84.0,4.8,8.8,0.0,13.6,2023,639,41,False,False,False,False,False,True
71.0,4.4,7.9,0.3,12.0,2023,154,93,True,False,False,False,False,False
9.0,4.8,8.55,0.3,13.05,2023,123,33,False,False,False,False,False,True
9.0,4.8,8.95,0.0,13.75,2023,123,33,False,False,False,False,False,True
10.0,5.2,9.2,0.0,14.4,2022,242,93,True,False,False,False,False,False
93.0,4.8,8.733,0.0,13.533,2022,28,4,False,False,False,False,False,True
61.0,4.8,9.0,0.0,13.8,2022,28,4,False,False,False,False,False,True
119.0,4.8,7.666,0.1,12.366,2023,28,4,False,False,False,False,False,True
21.0,5.2,8.866,0.0,14.066,2022,70,19,False,False,False,False,False,True
21.0,5.2,7.766,0.1,12.866,2022,70,19,False,False,False,False,False,True
5.0,5.2,9.066,0.0,14.266,2022,70,19,False,False,False,False,False,True
5.0,5.2,9.3,0.0,14.5,2022,70,19,False,False,False,False,False,True
6.0,5.2,9.2,0.3,14.1,2023,70,19,False,False,False,False,True,False
6.0,5.2,9.433,0.0,14.633,2023,70,19,False,False,False,False,False,True
6.0,5.2,9.366,0.0,14.566,2023,70,19,False,False,False,False,True,False
6.0,5.2,8.966,0.0,14.166,2023,70,19,False,False,False,False,False,True
7.0,5.2,7.933,0.0,13.133,2023,70,19,False,False,False,False,True,False
9.0,5.2,9.4,0.0,14.6,2023,70,19,False,False,False,False,False,True
7.0,5.2,9.033,0.0,14.233,2023,70,19,False,False,False,False,True,False
9.0,5.2,8.033,0.1,13.133,2023,70,19,False,False,False,False,False,True
35.0,5.2,7.866,0.3,12.766,2023,70,19,False,False,False,False,False,True
35.0,5.2,7.933,0.1,13.033,2023,70,19,False,False,False,False,False,True
22.0,5.2,7.933,0.0,13.133,2023,70,19,False,False,False,False,False,True
22.0,5.2,8.8,0.0,14.0,2023,70,19,False,False,False,False,False,True
11.0,5.2,9.2,0.1,14.3,2023,70,19,False,False,False,False,False,True
11.0,5.2,7.9,0.1,13.0,2023,70,19,False,False,False,False,False,True
97.0,5.6,8.0,0.4,13.2,2023,70,19,False,False,False,False,False,True
20.0,5.6,8.0,0.4,13.2,2023,70,19,False,False,False,False,False,True
20.0,5.2,8.633,0.1,13.733,2023,70,19,False,False,False,False,False,True
0.0,5.2,8.0,0.3,12.9,2022,465,93,False,False,False,False,False,True
0.0,5.2,9.25,0.1,14.35,2022,465,93,False,False,False,False,True,False
0.0,5.2,8.8,0.0,14.0,2023,465,93,False,False,False,False,False,True
0.0,5.2,8.8,0.0,14.0,2023,465,93,False,False,False,False,True,False
0.0,5.2,7.95,0.1,13.05,2023,465,93,True,False,False,False,False,False
98.0,4.8,8.8,0.1,13.5,2022,100,32,False,False,False,False,False,True
69.0,4.8,9.0,0.1,13.7,2023,100,32,False,False,False,False,False,True
36.0,4.8,8.9,0.1,13.6,2023,103,32,False,False,False,False,False,True
29.0,4.8,7.466,0.3,11.966,2023,367,72,False,False,False,False,False,True
29.0,5.2,7.866,0.0,13.066,2023,367,72,False,False,False,False,False,True
11.0,5.2,8.8,0.1,13.9,2023,368,72,False,False,False,False,False,True
11.0,4.8,9.067,0.0,13.867,2023,368,72,False,False,False,False,False,True
9.0,5.2,8.866,0.0,14.066,2023,368,72,False,False,False,False,False,True
8.0,5.6,7.933,0.3,13.233,2023,368,72,False,False,False,False,True,False
9.0,5.2,7.9,0.3,12.8,2023,368,72,False,False,False,False,False,True
8.0,5.2,8.7,0.3,13.6,2023,368,72,False,False,False,False,True,False
8.0,5.6,7.866,0.3,13.166,2023,368,72,False,False,False,False,True,False
4.0,5.6,8.966,0.0,14.566,2023,368,72,False,False,False,False,False,True
8.0,5.2,8.7,0.1,13.8,2023,368,72,False,False,False,False,True,False
4.0,5.2,9.1,0.0,14.3,2023,368,72,False,False,False,False,False,True
10.0,5.2,8.766,0.0,13.966,2023,368,72,False,False,False,False,False,True
10.0,5.2,9.0,0.1,14.1,2023,368,72,False,False,False,False,False,True
28.0,3.2,9.2,0.0,12.4,2023,677,95,False,False,False,False,False,True
0.0,3.2,9.333,0.0,12.533,2023,678,95,False,False,False,True,False,False
22.0,4.8,8.65,0.1,13.35,2022,88,33,False,False,False,False,False,True
64.0,4.8,8.466,0.1,13.166,2023,692,37,False,False,False,False,False,True
0.0,4.8,9.1,0.1,13.8,2022,325,93,False,False,False,False,False,True
0.0,4.8,8.95,0.0,13.75,2022,325,93,False,False,False,False,True,False
16.0,4.8,9.2,0.0,14.0,2023,325,93,True,False,False,False,False,False
21.0,4.8,9.1,0.0,13.9,2022,325,93,True,False,False,False,False,False
30.0,4.8,9.0,0.0,13.8,2023,325,93,True,False,False,False,False,False
0.0,4.8,8.9,0.0,13.7,2023,325,93,False,False,False,False,False,True
0.0,4.8,8.7,0.0,13.5,2023,325,93,False,False,False,False,True,False
0.0,4.8,9.25,0.0,14.05,2023,325,93,True,False,False,False,False,False
0.0,4.8,8.967,0.0,13.767,2023,223,12,False,False,True,False,False,False
0.0,4.8,8.867,0.0,13.667,2023,223,12,False,False,False,True,False,False
0.0,5.2,9.0,0.1,14.1,2022,408,93,False,False,False,False,False,True
0.0,5.2,9.3,0.3,14.2,2022,408,93,False,False,False,False,True,False
9.0,5.2,9.05,0.0,14.25,2023,408,93,True,False,False,False,False,False
14.0,4.8,9.35,0.0,14.15,2022,408,93,True,False,False,False,False,False
0.0,5.2,8.05,0.1,13.15,2023,408,93,False,False,False,False,False,True
0.0,5.2,9.05,0.0,14.25,2023,408,93,False,False,False,False,True,False
0.0,5.2,7.75,0.3,12.65,2023,408,93,True,False,False,False,False,False
4.0,5.2,9.5,0.0,14.7,2023,408,93,False,False,False,False,False,True
0.0,5.2,7.55,0.1,12.65,2022,99,93,False,False,False,False,False,True
0.0,5.2,8.65,0.0,13.85,2022,99,93,False,False,False,False,True,False
22.0,5.2,8.55,0.1,13.65,2023,99,93,True,False,False,False,False,False
18.0,5.2,9.0,0.0,14.2,2023,99,93,True,False,False,False,False,False
0.0,5.2,8.4,0.1,13.5,2023,99,93,False,False,False,False,False,True
0.0,5.2,8.9,0.0,14.1,2023,99,93,False,False,False,False,True,False
0.0,5.2,8.85,0.1,13.95,2023,99,93,True,False,False,False,False,False
5.0,5.2,9.066,0.0,14.266,2023,99,93,True,False,False,False,False,False
48.0,5.6,7.6,0.0,13.2,2023,204,93,True,False,False,False,False,False
64.0,5.2,7.8,0.1,12.9,2023,133,93,True,False,False,False,False,False
12.0,5.2,8.633,0.0,13.833,2023,421,49,True,False,False,False,False,False
67.0,5.2,7.966,0.1,13.066,2023,421,49,False,False,False,False,False,True
82.0,4.8,8.833,0.0,13.633,2023,564,59,False,False,False,False,False,True
0.0,5.2,8.8,0.1,13.9,2022,246,93,False,False,False,False,False,True
0.0,5.2,8.95,0.1,14.05,2022,246,93,False,False,False,False,True,False
37.0,4.4,7.8,0.0,12.2,2022,246,93,True,False,False,False,False,False
0.0,4.2,8.65,0.0,12.85,2022,195,79,False,True,False,False,False,False
82.0,4.8,8.933,0.1,13.633,2022,544,37,False,False,False,False,False,True
0.0,5.2,8.9,0.0,14.1,2023,544,37,False,False,True,False,False,False
137.0,5.2,7.933,0.3,12.833,2023,544,37,False,False,False,False,False,True
13.0,4.8,9.133,0.0,13.933,2023,544,37,True,False,False,False,False,False
43.0,4.8,9.166,0.0,13.966,2023,544,37,False,False,False,False,False,True
38.0,4.8,8.75,0.0,13.55,2023,544,34,False,False,False,False,False,True
6.0,5.2,9.4,0.0,14.6,2023,84,93,True,False,False,False,False,False
0.0,5.2,9.15,0.0,14.35,2023,84,93,False,False,False,False,False,True
28.0,5.2,8.0,0.3,12.9,2022,269,33,False,False,False,False,False,True
28.0,4.0,8.85,0.3,12.55,2022,269,33,False,False,False,False,False,True
117.0,4.8,8.233,0.3,12.733,2023,394,82,False,False,False,False,False,True
50.0,4.8,8.6,0.0,13.4,2023,461,93,True,False,False,False,False,False
7.0,5.4,8.4,0.3,13.5,2023,648,93,False,False,False,False,False,True
3.0,5.4,9.15,0.0,14.55,2023,648,93,False,False,False,False,True,False
3.0,5.2,9.25,0.1,14.35,2023,648,93,False,False,False,False,True,False
7.0,5.2,9.05,0.0,14.25,2023,648,93,False,False,False,False,False,True
0.0,5.4,9.35,0.0,14.75,2022,648,93,False,False,False,False,False,True
0.0,5.4,9.15,0.1,14.45,2022,648,93,False,False,False,False,True,False
18.0,5.4,8.5,0.3,13.6,2023,648,93,True,False,False,False,False,False
2.0,5.4,9.15,0.0,14.55,2022,648,93,False,False,False,False,False,True
2.0,5.4,9.1,0.0,14.5,2022,648,93,False,False,False,False,True,False
2.0,5.2,9.05,0.1,14.15,2022,648,93,False,False,False,False,False,True
2.0,5.2,9.0,0.0,14.2,2022,648,93,False,False,False,False,True,False
8.0,5.4,8.95,0.0,14.35,2022,648,93,True,False,False,False,False,False
14.0,5.4,8.9,0.1,14.2,2023,648,93,True,False,False,False,False,False
