Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
145.0,anastasija ananjeva,LAT,4.4,6.166,0.0,10.566,2023,qual
64.0,anastasija ananjeva,LAT,4.3,7.5,0.0,11.8,2023,qual
2.0,rebeca andrade,BRA,6.1,8.3,0.0,14.4,2022,AAfinal
3.0,rebeca andrade,BRA,5.9,7.833,0.0,13.733,2022,final
2.0,rebeca andrade,BRA,6.1,8.1,0.0,14.2,2022,qual
2.0,rebeca andrade,BRA,6.2,8.166,0.3,14.066,2023,AAfinal
2.0,rebeca andrade,BRA,6.1,8.4,0.0,14.5,2023,final
3.0,rebeca andrade,BRA,6.1,7.933,0.0,14.033,2023,qual
3.0,angela andreoli,ITA,5.8,8.066,0.0,13.866,2022,final
3.0,angela andreoli,ITA,5.6,8.033,0.0,13.633,2022,qual
11.0,angela andreoli,ITA,5.5,7.5,0.0,13.0,2023,qual
27.0,misella antila,FIN,4.3,6.3,0.1,10.5,2023,qual
41.0,misella antila,FIN,4.6,6.266,0.3,10.566,2023,qual
5.0,shannon archer,GBR,4.7,8.2,0.0,12.9,2022,final
7.0,shannon archer,GBR,4.7,7.95,0.0,12.65,2022,qual
13.0,shannon archer,SCO,4.6,6.9,0.0,11.5,2022,AAfinal
15.0,shannon archer,SCO,4.5,7.9,0.0,12.4,2022,qual
3.0,dildora aripova,UZB,4.9,7.966,0.0,12.866,2022,final
3.0,dildora aripova,UZB,4.9,7.733,0.0,12.633,2022,qual
2.0,dildora aripova,UZB,4.9,7.7,0.0,12.6,2022,final
2.0,dildora aripova,UZB,4.9,7.833,0.0,12.733,2022,qual
1.0,dildora aripova,UZB,5.0,8.15,0.0,13.15,2022,qual
8.0,dildora aripova,UZB,4.3,7.5,0.3,11.5,2022,final
56.0,dildora aripova,UZB,5.0,7.6,0.0,12.6,2023,qual
26.0,dildora aripova,UZB,4.4,6.666,0.0,11.066,2023,qual
15.0,dildora aripova,UZB,4.6,8.0,0.3,12.3,2023,qual
4.0,dildora aripova,UZB,5.0,7.566,0.0,12.566,2023,final
2.0,dildora aripova,UZB,5.0,7.866,0.0,12.866,2023,qual
44.0,sona artamonova,CZE,5.0,7.733,0.0,12.733,2023,qual
13.0,sona artamonova,CZE,4.8,7.766,0.1,12.466,2023,qual
90.0,sona artamonova,CZE,4.6,6.933,0.3,11.233,2023,qual
128.0,tatiana bachurina,CYP,4.0,7.333,0.0,11.333,2022,qual
94.0,tatiana bachurina,CYP,4.3,7.1,0.3,11.1,2022,qual
16.0,tatiana bachurina,CYP,4.2,6.55,0.0,10.75,2022,AAfinal
32.0,tatiana bachurina,CYP,4.2,6.5,0.1,10.6,2022,qual
40.0,sacha bailey,GBR,4.2,7.15,0.0,11.35,2022,qual
39.0,sacha bailey,GBR,4.4,5.8,0.1,10.1,2023,qual
27.0,shannon baker,GBR,4.7,7.1,0.1,11.7,2022,qual
16.0,shannon baker,GBR,4.6,7.1,0.0,11.7,2023,qual
37.0,jade barbosa,BRA,5.6,7.533,0.3,12.833,2023,qual
3.0,jade barbosa,BRA,5.6,7.833,0.0,13.433,2023,AAfinal
5.0,jade barbosa,BRA,5.5,7.833,0.0,13.333,2023,qual
22.0,ana barbosu,ROU,5.2,6.733,0.0,11.933,2022,AAfinal
19.0,ana barbosu,ROU,5.6,7.7,0.0,13.3,2022,qual
1.0,ana barbosu,ROU,5.3,8.0,0.0,13.3,2022,qual
1.0,ana barbosu,ROU,5.3,7.9,0.3,12.9,2022,final
4.0,ana barbosu,ROU,5.6,8.033,0.0,13.633,2022,final
10.0,ana barbosu,ROU,5.4,7.866,0.0,13.266,2022,qual
23.0,ana barbosu,ROU,5.3,6.6,0.3,11.6,2023,AAfinal
22.0,ana barbosu,ROU,5.5,7.7,0.0,13.2,2023,qual
19.0,ana barbosu,ROU,5.3,6.733,0.0,12.033,2023,AAfinal
7.0,ana barbosu,ROU,5.5,7.3,0.0,12.8,2023,final
7.0,ana barbosu,ROU,5.5,7.733,0.0,13.233,2023,qual
13.0,sydney barros,USA,5.4,7.2,0.0,12.6,2022,AAfinal
13.0,sydney barros,PUR,5.2,6.75,0.0,11.95,2023,qual
12.0,daniela batrona,UKR,5.0,7.4,0.1,12.3,2022,qual
4.0,daniela batrona,UKR,4.6,7.666,0.0,12.266,2022,final
3.0,daniela batrona,UKR,4.8,7.766,0.0,12.566,2022,qual
10.0,daniela batrona,UKR,4.6,6.8,0.0,11.4,2022,qual
2.0,daniela batrona,UKR,4.9,7.766,0.0,12.666,2022,final
5.0,daniela batrona,UKR,4.8,7.366,0.0,12.166,2022,qual
69.0,aida bauyrzhanova,KAZ,4.5,7.833,0.0,12.333,2022,qual
11.0,aida bauyrzhanova,KAZ,4.7,7.633,0.0,12.333,2022,qual
7.0,aida bauyrzhanova,KAZ,4.7,7.166,0.3,11.566,2022,final
6.0,aida bauyrzhanova,KAZ,4.5,7.666,0.1,12.066,2022,qual
6.0,aida bauyrzhanova,KAZ,4.3,7.4,0.0,11.7,2022,final
7.0,aida bauyrzhanova,KAZ,4.5,7.433,0.0,11.933,2022,qual
4.0,aida bauyrzhanova,KAZ,4.6,8.0,0.0,12.6,2022,qual
4.0,aida bauyrzhanova,KAZ,4.5,7.8,0.0,12.3,2022,final
149.0,aida bauyrzhanova,KAZ,3.7,6.4,0.0,10.1,2023,qual
15.0,aida bauyrzhanova,KAZ,4.7,7.5,0.1,12.1,2023,qual
4.0,aida bauyrzhanova,KAZ,4.7,7.833,0.0,12.533,2023,final
3.0,aida bauyrzhanova,KAZ,4.7,8.033,0.0,12.733,2023,qual
15.0,aida bauyrzhanova,KAZ,4.7,7.2,0.4,11.5,2023,qual
16.0,aida bauyrzhanova,KAZ,4.8,7.566,0.1,12.266,2023,qual
6.0,aida bauyrzhanova,KAZ,5.0,7.9,0.0,12.9,2023,AAfinal
18.0,arianna belardelli,ITA,5.3,7.966,0.0,13.266,2023,qual
2.0,arianna belardelli,ITA,5.3,7.8,0.3,12.8,2023,final
7.0,arianna belardelli,ITA,5.3,7.533,0.4,12.433,2023,qual
64.0,lena bickel,SUI,5.1,7.4,0.0,12.5,2023,qual
10.0,lena bickel,SUI,5.3,7.733,0.0,13.033,2023,qual
113.0,ula bikinaite,LTU,3.6,5.966,0.0,9.566,2022,qual
114.0,ula bikinaite,LTU,3.6,6.533,0.0,10.133,2023,qual
1.0,simone biles,USA,6.5,8.033,0.0,14.533,2023,AAfinal
1.0,simone biles,USA,6.7,8.033,0.1,14.633,2023,final
1.0,simone biles,USA,6.7,7.933,0.0,14.633,2023,qual
1.0,simone biles,USA,6.8,8.1,0.0,14.9,2023,AAfinal
8.0,ceren biner,TUR,4.8,7.5,0.0,12.3,2023,qual
6.0,ceren biner,TUR,4.6,7.666,0.0,12.266,2023,final
51.0,ceren biner,TUR,4.7,7.333,0.0,12.033,2023,qual
11.0,elsabeth black,CAN,5.0,8.333,0.0,13.333,2022,AAfinal
20.0,elsabeth black,CAN,5.0,8.266,0.0,13.266,2022,qual
12.0,elsabeth black,CAN,5.4,7.6,0.1,12.9,2023,AAfinal
13.0,elsabeth black,CAN,5.4,8.1,0.1,13.4,2023,qual
11.0,skye blakely,USA,5.7,7.9,0.0,13.6,2022,qual
2.0,skye blakely,USA,5.4,7.85,0.0,13.25,2022,AAfinal
7.0,luisa blanco,COL,4.4,8.166,0.0,12.566,2023,AAfinal
19.0,luisa blanco,COL,4.3,7.633,0.0,11.933,2023,qual
13.0,ashley bohorquez,ECU,4.9,7.166,0.0,12.066,2023,AAfinal
20.0,ashley bohorquez,ECU,4.9,7.033,0.0,11.933,2023,qual
18.0,charlotte booth,USA,4.7,7.4,0.0,12.1,2022,AAfinal
11.0,charlotte booth,USA,5.1,7.7,0.0,12.8,2023,AAfinal
22.0,charlotte booth,USA,4.8,7.25,0.3,11.75,2023,AAfinal
115.0,ella borg,MLT,4.4,7.4,0.1,11.7,2022,qual
10.0,ella borg,MLT,4.5,6.9,0.0,11.4,2022,qual
88.0,ella borg,MLT,4.4,7.066,0.2,11.266,2022,qual
94.0,ella borg,MLT,4.3,6.966,0.1,11.166,2023,qual
17.0,marine boyer,FRA,5.2,8.1,0.0,13.3,2022,qual
38.0,marine boyer,FRA,4.8,7.866,0.3,12.366,2022,qual
15.0,marine boyer,FRA,4.8,7.9,0.0,12.7,2022,TeamFinal
99.0,marine boyer,FRA,4.9,7.1,0.0,12.0,2023,qual
1.0,marine boyer,FRA,4.9,7.933,0.0,12.833,2023,final
1.0,marine boyer,FRA,4.9,8.066,0.0,12.966,2023,qual
17.0,marine boyer,FRA,4.9,7.833,0.0,12.733,2023,qual
4.0,marine boyer,FRA,4.9,8.133,0.0,13.033,2023,final
6.0,marine boyer,FRA,4.9,7.8,0.1,12.6,2023,qual
13.0,maellyse brassart,BEL,5.0,8.133,0.0,13.133,2022,AAfinal
37.0,maellyse brassart,BEL,5.0,7.9,0.0,12.9,2022,qual
69.0,maellyse brassart,BEL,4.7,7.0,0.0,11.7,2022,qual
17.0,maellyse brassart,BEL,4.9,7.766,0.1,12.566,2022,TeamFinal
12.0,maellyse brassart,BEL,4.9,7.566,0.0,12.466,2023,AAfinal
47.0,maellyse brassart,BEL,4.9,7.2,0.0,12.1,2023,qual
9.0,maellyse brassart,BEL,4.9,7.85,0.0,12.75,2023,qual
43.0,emily bremner,GBR,4.6,6.6,0.0,11.2,2022,qual
18.0,emily bremner,SCO,4.8,7.25,0.0,12.05,2022,qual
21.0,valentina brostella,PAN,4.2,7.35,0.1,11.45,2023,qual
43.0,valentina brostella,PAN,4.3,6.133,0.0,10.433,2023,qual
98.0,lynnzee brown,HAI,4.6,7.4,0.0,12.0,2023,qual
11.0,lynnzee brown,HAI,4.8,7.4,0.0,12.2,2023,AAfinal
23.0,lynnzee brown,HAI,4.7,7.266,0.1,11.866,2023,qual
24.0,romi brown,AUS,4.8,6.633,0.0,11.433,2022,AAfinal
47.0,romi brown,AUS,5.0,7.733,0.0,12.733,2022,qual
8.0,romi brown,AUS,4.7,7.066,0.0,11.766,2022,final
5.0,romi brown,AUS,5.1,7.65,0.0,12.75,2022,qual
16.0,kim bui,GER,5.3,7.566,0.0,12.866,2022,qual
10.0,kim bui,GER,5.3,7.733,0.0,13.033,2022,TeamFinal
5.0,annabelle burrows,AUS,4.6,7.733,0.0,12.333,2023,final
4.0,annabelle burrows,AUS,4.8,7.9,0.0,12.7,2023,qual
2.0,dorina böczögö,HUN,4.9,8.1,0.0,13.0,2022,qual
2.0,dorina böczögö,HUN,4.9,8.266,0.0,13.166,2022,final
1.0,dorina böczögö,HUN,4.8,7.933,0.0,12.733,2022,final
4.0,dorina böczögö,HUN,4.9,7.666,0.1,12.466,2022,qual
3.0,dorina böczögö,HUN,4.9,7.633,0.1,12.433,2022,final
3.0,dorina böczögö,HUN,4.9,7.666,0.0,12.566,2022,qual
93.0,paulina campos,MEX,4.2,7.833,0.0,12.033,2022,qual
7.0,paulina campos,MEX,4.4,7.733,0.0,12.133,2022,final
6.0,paulina campos,MEX,4.4,7.9,0.0,12.3,2022,qual
24.0,paulina campos,MEX,4.2,7.633,0.0,11.833,2023,qual
3.0,jade carey,USA,6.1,8.066,0.0,14.166,2022,AAfinal
3.0,jade carey,USA,5.9,7.833,0.0,13.733,2022,final
5.0,jade carey,USA,6.1,7.966,0.0,14.066,2022,qual
12.0,laura casabuena,ESP,5.1,8.233,0.0,13.333,2022,AAfinal
24.0,laura casabuena,ESP,5.1,8.1,0.0,13.2,2022,qual
21.0,laura casabuena,ESP,4.9,7.833,0.0,12.733,2022,qual
16.0,laura casabuena,ESP,5.1,7.566,0.0,12.666,2022,TeamFinal
26.0,laura casabuena,ESP,5.0,8.066,0.0,13.066,2023,qual
8.0,laura casabuena,ESP,4.8,7.366,0.0,12.166,2023,final
7.0,laura casabuena,ESP,5.0,8.0,0.0,13.0,2023,qual
8.0,laura casabuena,ESP,5.2,7.5,0.0,12.7,2023,AAfinal
6.0,laura casabuena,ESP,5.2,7.833,0.0,13.033,2023,final
9.0,laura casabuena,ESP,5.2,7.9,0.0,13.1,2023,qual
12.0,dulcy caylor,USA,5.4,7.25,0.0,12.65,2023,AAfinal
20.0,dulcy caylor,USA,5.3,6.85,0.3,11.85,2023,AAfinal
38.0,caterina cereghetti,SUI,4.8,7.4,0.0,12.2,2023,qual
30.0,cheuk lam chan,HKG,4.0,7.3,0.0,11.3,2023,qual
25.0,cheuk lam chan,HKG,3.4,7.633,0.0,11.033,2023,qual
17.0,cheuk lam chan,HKG,3.4,7.533,0.0,10.933,2023,qual
17.0,cheuk lam chan,HKG,3.4,7.433,0.0,10.833,2023,qual
19.0,cheuk lam chan,HKG,3.4,7.3,0.0,10.7,2023,qual
6.0,lorette charpy,FRA,4.9,7.666,0.0,12.566,2022,qual
6.0,lorette charpy,FRA,4.7,7.966,0.0,12.666,2022,final
2.0,jordan chiles,USA,5.8,8.033,0.0,13.833,2022,final
4.0,jordan chiles,USA,5.8,8.3,0.0,14.1,2022,qual
2.0,jordan chiles,USA,5.9,7.633,0.0,13.533,2023,AAfinal
6.0,jordan chiles,USA,6.0,7.3,0.1,13.2,2023,qual
18.0,chloe cho,USA,4.7,7.55,0.0,12.25,2023,AAfinal
26.0,chloe cho,USA,4.8,6.6,0.0,11.4,2023,AAfinal
24.0,norah christian,USA,5.5,6.2,0.6,11.1,2023,AAfinal
24.0,norah christian,USA,5.1,6.75,0.4,11.45,2023,AAfinal
22.0,oksana chusovitina,UZB,4.0,7.3,0.0,11.3,2023,qual
117.0,reece cobb,NZL,4.1,7.666,0.1,11.666,2022,qual
9.0,reece cobb,NZL,4.2,7.466,0.2,11.466,2022,qual
138.0,reece cobb,NZL,4.4,6.766,0.1,11.066,2023,qual
61.0,mafalda costa,POR,4.5,7.3,0.0,11.8,2022,qual
103.0,mafalda costa,POR,4.7,7.233,0.0,11.933,2023,qual
20.0,mafalda costa,POR,4.7,7.3,0.0,12.0,2023,qual
54.0,mafalda costa,POR,4.6,7.366,0.0,11.966,2023,qual
133.0,milagros curti ruiz,ARG,4.5,6.833,0.0,11.333,2023,qual
12.0,milagros curti ruiz,ARG,4.6,7.533,0.0,12.133,2023,AAfinal
13.0,milagros curti ruiz,ARG,4.8,7.733,0.1,12.433,2023,qual
91.0,bettina lili czifra,HUN,4.9,7.233,0.0,12.133,2023,qual
43.0,bettina lili czifra,HUN,5.0,7.133,0.0,12.133,2023,qual
15.0,alice d amato,ITA,5.0,8.066,0.0,13.066,2022,AAfinal
9.0,alice d amato,ITA,5.4,8.2,0.0,13.6,2022,qual
8.0,alice d amato,ITA,5.4,8.1,0.0,13.5,2022,qual
4.0,alice d amato,ITA,5.4,8.033,0.1,13.333,2022,TeamFinal
19.0,alice d amato,ITA,5.4,7.1,0.0,12.5,2023,AAfinal
13.0,alice d amato,ITA,5.4,8.1,0.1,13.4,2023,qual
2.0,alice d amato,ITA,5.4,8.1,0.0,13.5,2023,final
2.0,alice d amato,ITA,5.4,8.166,0.0,13.566,2023,qual
4.0,alice d amato,ITA,5.2,8.133,0.2,13.133,2023,final
3.0,alice d amato,ITA,5.2,8.266,0.0,13.466,2023,qual
5.0,alice d amato,ITA,5.4,7.7,0.0,13.1,2023,AAfinal
5.0,alice d amato,ITA,5.4,8.033,0.0,13.433,2023,final
5.0,alice d amato,ITA,5.4,7.966,0.0,13.366,2023,qual
5.0,asia d amato,ITA,5.4,8.166,0.0,13.566,2022,qual
2.0,asia d amato,ITA,5.4,8.166,0.0,13.566,2022,TeamFinal
15.0,asia d amato,ITA,4.9,7.233,0.3,11.833,2023,qual
45.0,margaux dandois,BEL,5.1,7.633,0.0,12.733,2023,qual
12.0,margaux dandois,BEL,5.0,7.066,0.0,12.066,2023,qual
8.0,margaux dandois,BEL,4.9,7.367,0.0,12.267,2023,final
3.0,margaux dandois,BEL,4.9,8.167,0.0,13.067,2023,qual
72.0,naveen daries,RSA,4.8,7.7,0.2,12.3,2022,qual
8.0,naveen daries,RSA,4.6,7.0,0.0,11.4,2022,final
7.0,naveen daries,RSA,4.6,7.5,0.1,12.0,2022,qual
117.0,naveen daries,RSA,4.1,7.633,0.0,11.733,2023,qual
5.0,naveen daries,RSA,4.8,7.9,0.0,12.7,2022,AAfinal
7.0,naveen daries,RSA,4.7,7.8,0.3,12.2,2022,final
10.0,naveen daries,RSA,4.8,7.75,0.0,12.55,2022,qual
105.0,joana de freitas,MON,4.1,6.333,0.0,10.433,2022,qual
33.0,joana de freitas,MON,4.1,6.666,0.0,10.766,2023,qual
26.0,joana de freitas,MON,4.1,6.833,0.0,10.933,2023,qual
83.0,joana de freitas,MON,4.1,7.3,0.0,11.4,2023,qual
3.0,melanie de jesus dos santos,FRA,5.6,8.233,0.0,13.833,2023,AAfinal
22.0,laurie denommee,CAN,5.3,7.966,0.0,13.266,2022,qual
2.0,laurie denommee,CAN,5.0,8.15,0.0,13.15,2022,AAfinal
7.0,laurie denommee,CAN,5.0,7.65,0.0,12.65,2022,qual
3.0,laurie denommée,CAN,5.0,7.566,0.0,12.566,2022,final
1.0,laurie denommée,CAN,5.0,7.933,0.0,12.933,2022,qual
20.0,ana derek,CRO,5.1,7.666,0.0,12.766,2022,qual
3.0,ana derek,CRO,5.1,7.8,0.0,12.9,2022,final
3.0,ana derek,CRO,5.2,7.85,0.0,13.05,2022,qual
104.0,coline devillard,FRA,4.5,7.5,0.1,11.9,2023,qual
7.0,karelys diaz,PUR,4.5,7.6,0.0,12.1,2023,AAfinal
8.0,karelys diaz,PUR,4.5,7.5,0.3,11.7,2023,final
10.0,karelys diaz,PUR,4.6,7.45,0.0,12.05,2023,qual
29.0,karelys diaz,PUR,4.6,6.966,0.0,11.566,2023,qual
12.0,stella diaz,PUR,4.3,6.85,0.0,11.15,2023,AAfinal
24.0,stella diaz,PUR,4.2,7.05,0.0,11.25,2023,qual
22.0,stella diaz muniz,PUR,4.3,7.133,0.0,11.433,2023,AAfinal
39.0,stella diaz muniz,PUR,3.6,7.266,0.0,10.866,2023,qual
7.0,kayla dicello,USA,5.2,7.95,0.0,13.15,2023,AAfinal
1.0,kayla dicello,USA,5.5,8.233,0.0,13.733,2023,AAfinal
2.0,kayla dicello,USA,5.5,8.233,0.0,13.733,2023,final
2.0,kayla dicello,USA,5.5,8.133,0.0,13.633,2023,qual
16.0,amelia disidore,USA,4.9,7.45,0.0,12.35,2022,AAfinal
6.0,amelia disidore,USA,5.6,7.65,0.0,13.25,2023,AAfinal
4.0,amelia disidore,USA,5.7,7.5,0.0,13.2,2023,AAfinal
42.0,tara donnelly,GBR,4.5,6.8,0.0,11.3,2022,qual
15.0,tara donnelly,IOM,4.7,7.0,0.4,11.3,2022,AAfinal
23.0,tara donnelly,IOM,4.7,7.2,0.3,11.6,2022,qual
78.0,geffen dor,ISR,4.2,7.333,0.1,11.433,2022,qual
11.0,geffen dor,ISR,4.4,7.2,0.0,11.6,2023,qual
9.0,jessica dowling,CAN,4.9,7.533,0.3,12.133,2023,qual
7.0,jessica dowling,CAN,4.9,7.233,0.1,12.033,2023,final
7.0,jessica dowling,CAN,4.9,7.4,0.2,12.1,2023,qual
15.0,lauren ducas,CUB,4.1,6.8,0.0,10.9,2023,AAfinal
26.0,lauren ducas,CUB,4.2,6.9,0.0,11.1,2023,qual
5.0,antonia duta,ROU,5.0,7.666,0.1,12.566,2022,qual
4.0,antonia duta,ROU,5.0,7.833,0.0,12.833,2022,final
83.0,antonia duta,ROU,5.0,6.633,0.3,11.333,2022,qual
9.0,antonia duta,ROU,5.1,7.45,0.0,12.55,2022,qual
18.0,amanda edwards,AUS,4.5,7.666,0.3,11.866,2023,qual
7.0,amanda edwards,AUS,4.5,7.633,0.0,12.133,2023,AAfinal
143.0,milka gehani elpitiya badalge dona,SRI,3.1,7.9,4.3,6.7,2022,qual
115.0,milka gehani elpitiya badalge dona,SRI,4.9,7.066,0.2,11.766,2023,qual
30.0,milka gehani elpitiya badalge dona,SRI,4.6,6.35,0.3,10.65,2022,qual
81.0,alva eriksson,SWE,4.6,7.7,0.1,12.2,2022,qual
51.0,alva eriksson,SWE,4.4,7.7,0.1,12.0,2022,qual
42.0,natalia escalera,MEX,5.1,7.733,0.0,12.833,2022,qual
5.0,natalia escalera,MEX,4.7,8.033,0.0,12.733,2022,final
8.0,natalia escalera,MEX,4.7,7.7,0.3,12.1,2022,qual
79.0,natalia escalera,MEX,5.1,7.333,0.1,12.333,2023,qual
2.0,natalia escalera,MEX,5.2,7.75,0.1,12.85,2023,AAfinal
2.0,natalia escalera,MEX,5.2,8.2,0.0,13.4,2023,final
2.0,natalia escalera,MEX,5.2,8.15,0.1,13.25,2023,qual
4.0,natalia escalera,MEX,5.3,7.733,0.1,12.933,2023,AAfinal
14.0,natalia escalera,MEX,5.3,7.5,0.4,12.4,2023,qual
20.0,ginna escobar,COL,4.5,7.2,0.0,11.7,2022,qual
8.0,ginna escobar,COL,4.6,7.35,0.0,11.95,2023,AAfinal
7.0,ginna escobar,COL,4.9,7.1,0.0,12.0,2023,final
6.0,ginna escobar,COL,4.9,7.55,0.0,12.45,2023,qual
144.0,ginna escobar betancur,COL,4.4,6.333,0.0,10.733,2023,qual
46.0,ginna escobar betancur,COL,4.5,5.766,0.1,10.166,2023,qual
14.0,manila esposito,ITA,5.4,8.066,0.0,13.466,2022,qual
11.0,manila esposito,ITA,5.5,7.7,0.1,13.1,2023,AAfinal
11.0,manila esposito,ITA,5.6,8.1,0.1,13.6,2023,qual
2.0,manila esposito,ITA,5.5,8.166,0.1,13.566,2023,final
4.0,manila esposito,ITA,5.5,8.133,0.3,13.333,2023,qual
22.0,manila esposito,ITA,5.4,6.7,0.3,11.8,2023,AAfinal
26.0,manila esposito,ITA,5.4,7.266,0.1,12.566,2023,qual
116.0,lucila estarli,ARG,4.8,6.966,0.0,11.766,2023,qual
36.0,lucila estarli,ARG,4.6,6.5,0.0,11.1,2023,qual
3.0,ruby evan,GBR,5.4,8.066,0.0,13.466,2023,final
2.0,ruby evan,GBR,5.4,8.1,0.0,13.5,2023,qual
8.0,mia evans,GBR,4.7,8.05,0.0,12.75,2022,final
8.0,mia evans,GBR,4.8,7.9,0.1,12.6,2022,qual
33.0,mia evans,WAL,4.6,6.5,0.7,10.4,2022,qual
23.0,ruby evans,GBR,5.6,7.566,0.0,13.166,2023,qual
5.0,ruby evans,GBR,5.4,7.9,0.3,13.0,2023,final
7.0,ruby evans,GBR,5.4,7.45,0.4,12.45,2023,qual
20.0,amika every,ARU,1.4,8.3,6.5,3.2,2023,AAfinal
32.0,amika every,ARU,4.4,5.85,0.0,10.25,2023,qual
20.0,addison fatta,USA,4.6,7.2,0.0,11.8,2022,AAfinal
7.0,addison fatta,USA,5.2,7.9,0.0,13.1,2023,AAfinal
6.0,georgia mae fenton,GBR,4.5,8.45,0.1,12.85,2022,final
6.0,georgia mae fenton,GBR,4.6,8.05,0.0,12.65,2022,qual
3.0,georgia mae fenton,GBR,5.1,8.4,0.0,13.5,2023,final
2.0,georgia mae fenton,GBR,5.1,8.35,0.0,13.45,2023,qual
9.0,georgia mae fenton,GBR,4.9,7.733,0.0,12.633,2023,AAfinal
12.0,georgia mae fenton,GBR,5.1,7.8,0.0,12.9,2023,qual
13.0,georgia mae fenton,ENG,4.7,7.75,0.0,12.45,2022,qual
59.0,emma fernandez,ESP,5.0,7.7,0.1,12.6,2022,qual
23.0,emma fernandez,ESP,4.9,7.8,0.0,12.7,2022,qual
23.0,emma fernandez,ESP,4.7,6.766,0.0,11.466,2022,TeamFinal
85.0,laia font,ESP,4.8,7.466,0.0,12.266,2023,qual
9.0,laia font,ESP,5.1,7.7,0.0,12.8,2023,qual
50.0,laia font,ESP,5.0,7.333,0.3,12.033,2023,qual
14.0,claudia fragapane,ENG,5.2,7.25,0.0,12.45,2022,qual
17.0,aline friess,FRA,5.2,7.7,0.1,12.8,2022,AAfinal
28.0,aline friess,FRA,5.3,7.8,0.0,13.1,2022,qual
17.0,aline friess,FRA,4.9,7.9,0.0,12.8,2022,qual
1.0,aline friess,FRA,4.9,8.1,0.0,13.0,2022,final
2.0,aline friess,FRA,5.0,8.1,0.0,13.1,2022,qual
14.0,nika kukuljan frleta,CRO,4.6,6.1,0.0,10.7,2022,qual
10.0,nika kukuljan frleta,CRO,4.5,6.833,0.1,11.233,2022,qual
92.0,bianca frysak,AUT,4.3,7.8,0.0,12.1,2023,qual
5.0,bianca frysak,AUT,4.4,7.966,0.0,12.366,2023,final
12.0,bianca frysak,AUT,4.4,7.866,0.0,12.266,2023,qual
13.0,bianca frysak,AUT,4.5,7.566,0.3,11.766,2023,AAfinal
21.0,bianca frysak,AUT,4.3,7.566,0.0,11.866,2023,AAfinal
61.0,bianca frysak,AUT,4.3,7.566,0.0,11.866,2023,qual
134.0,petra furac,CRO,4.2,6.9,0.1,11.0,2022,qual
104.0,petra furac,CRO,3.4,7.033,0.0,10.433,2022,qual
7.0,jennifer gadirova,GBR,5.3,7.966,0.1,13.166,2022,final
8.0,jennifer gadirova,GBR,5.3,8.3,0.0,13.6,2022,qual
2.0,jennifer gadirova,GBR,5.3,8.65,0.0,13.95,2022,final
2.0,jennifer gadirova,GBR,5.3,8.4,0.0,13.7,2022,qual
5.0,jennifer gadirova,GBR,5.3,8.166,0.0,13.466,2022,final
6.0,jennifer gadirova,GBR,5.3,8.233,0.0,13.533,2022,qual
