Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
144,aliaksandr tsarevich,BLR,4.9,8.5,0.0,2015,qual,13.4,0
145,petar velickovic,SRB,5.2,8.3,0.0,2015,qual,13.4,0
146,luke wiwatowski,AUS,5.5,8.2,0.0,2015,qual,13.4,0
147,vid hidvegi,HUN,5.3,8.1,0.0,2015,qual,13.4,0
147,slavomir michnak,SVK,5.3,8.1,0.0,2015,qual,13.4,0
149,daniel radovesnicky,CZE,5.5,8.0,0.0,2015,qual,13.4,0
150,sangwook lee,KOR,5.5,7.933,0.0,2015,qual,13.33,0
151,sherif el saharty mohamed,EGY,5.5,7.833,0.0,2015,qual,13.33,0
152,jack neill,IRL,5.4,8.0,0.0,2015,qual,13.3,0
153,ashraf elmaraghy ahmed,EGY,5.3,8.0,0.0,2015,qual,13.3,0
154,marios georgiou,CYP,5.6,7.8,0.0,2015,qual,13.3,0
155,oleg stepko,AZE,5.9,7.7,0.0,2015,qual,13.3,0
156,joao fuglsig,DEN,5.2,8.066,0.0,2015,qual,13.26,0
157,robert tvorogal,LTU,5.1,8.133,0.0,2015,qual,13.23,0
158,juan raffo,CHI,5.2,7.966,0.0,2015,qual,13.16,0
159,igor radivilov,UKR,5.8,7.366,0.0,2015,qual,13.16,0
160,hellal metidji,ALG,5.1,8.033,0.0,2015,qual,13.13,0
161,alen dimic,SLO,5.3,7.833,0.0,2015,qual,13.13,0
162,nikolay nam,KAZ,5.9,7.533,0.0,2015,qual,13.13,0
163,ludovico edalli,ITA,5.9,7.233,0.0,2015,qual,13.13,0
164,naoto hayasaka,JPN,6.4,6.733,0.0,2015,qual,13.13,0
165,norbert dudas,HUN,5.0,8.1,0.0,2015,qual,13.1,0
166,axel augis,FRA,5.6,7.9,0.0,2015,qual,13.1,0
167,david vecsernyes,HUN,5.2,7.866,0.0,2015,qual,13.06,0
168,nikolai kuksenkov,RUS,6.1,7.166,0.0,2015,qual,13.06,0
169,david belyavskiy,RUS,6.0,7.166,0.0,2015,qual,13.06,0
170,tiaan grobler,RSA,5.2,8.133,0.0,2015,qual,13.03,0
171,devy dyson,NZL,5.0,8.133,0.0,2015,qual,13.03,0
172,rakesh patra,IND,5.0,8.033,0.0,2015,qual,13.03,0
173,dmitrijs trefilovs,LAT,5.2,7.833,0.0,2015,qual,13.03,0
174,christian bruno decidet,CHI,5.3,7.733,0.0,2015,qual,13.03,0
174,jostyn fuenmayor berroeta,VEN,5.3,7.733,0.0,2015,qual,13.03,0
176,irodotos georgallas,CYP,4.8,8.2,0.0,2015,qual,13.0,0
177,christos lympanovnos,GRE,5.3,7.8,0.0,2015,qual,13.0,0
178,javier balboa gonzalez,MEX,5.4,7.666,0.0,2015,qual,12.96,0
179,ahmed aldyani,QAT,4.9,8.033,0.0,2015,qual,12.93,0
180,milos paunovic,SRB,5.1,7.8,0.0,2015,qual,12.9,0
181,henry gonzalez vega,CRC,5.6,7.3,0.0,2015,qual,12.9,0
182,joachim winther,DEN,4.9,7.966,0.0,2015,qual,12.86,0
183,naoya tsukahara,AUS,5.0,7.866,0.0,2015,qual,12.86,0
184,thanh dinh phuong,VIE,5.5,7.366,0.0,2015,qual,12.86,0
185,fabian de luna,MEX,5.9,7.266,0.0,2015,qual,12.86,0
186,timothy tay kai cheng,SIN,5.4,7.433,0.0,2015,qual,12.83,0
187,denis abliazin,RUS,6.5,6.733,0.0,2015,qual,12.83,0
188,gabriel gan zi jie,SIN,4.5,8.3,0.0,2015,qual,12.8,0
189,siddharth verma,IND,4.8,8.0,0.0,2015,qual,12.8,0
190,hung pham phuoc,VIE,5.9,7.2,0.0,2015,qual,12.8,0
191,bojan dejanovic,SRB,4.9,7.875,0.0,2015,qual,12.77,0
192,mohamed reghib,ALG,4.7,8.066,0.0,2015,qual,12.76,0
193,marcus conradi,NOR,5.9,6.866,0.0,2015,qual,12.76,0
194,pietro giachino,NOR,5.3,7.4,0.0,2015,qual,12.7,0
195,simao almeida,POR,5.8,7.2,0.0,2015,qual,12.7,0
196,bram louwije,BEL,5.6,7.1,0.0,2015,qual,12.7,0
197,lukas kranzlmueller,AUT,5.7,7.0,0.0,2015,qual,12.7,0
198,paata nozadze,GEO,5.2,7.566,0.0,2015,qual,12.66,0
199,orlando calvo moreno jossimar,COL,6.5,6.366,0.0,2015,qual,12.66,0
200,david bishop,NZL,5.8,6.8,0.0,2015,qual,12.6,0
201,rok klavora,SLO,6.1,6.466,0.0,2015,qual,12.56,0
202,rachid moussa,MAR,4.9,7.633,0.0,2015,qual,12.53,0
203,christos chatziefstathiou georgios,GRE,5.1,7.4,0.0,2015,qual,12.5,0
204,vladyslav hryko,UKR,5.5,7.0,0.0,2015,qual,12.5,0
205,nestor rodriguez colon,PUR,5.3,7.266,0.0,2015,qual,12.46,0
